mineral_name,group_yaml,mineral_class,end_member_key,formula,basis,source_url,retrieved_date,notes,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,MnO,MgO,CaO,Na2O,K2O,P2O5,NiO,CoO,ZnO,Sc2O3,B2O3,Li2O,Y2O3,ZrO2,HfO2,Nb2O5,V2O3,BaO,SrO,La2O3,Ce2O3,Pr2O3,Nd2O3,Sm2O3,Eu2O3,Gd2O3,Tb2O3,Dy2O3,Ho2O3,Er2O3,Tm2O3,Yb2O3,Lu2O3,ThO2,UO2,PbO,F,Cl,H2O,CO2,OH,Si,Ti,Al,Cr,Fe,Mn,Mg,Ca,Na,K,P,Ni,Co,Zn,Sc,B,Li,Y,Zr,Hf,Nb,V,Ba,Sr,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Th,U,Pb,S,Cu,As,Sb,Cd,O,H
Leucite,leucite,Feldspathoid,leucite,KAlSi2O6,oxide_wt_percent,https://webmineral.com/data/Leucite.shtml,2026-08-20,"""feldspathoid"" is a new placeholder group_yaml with no backing resources/minerals/*.yaml config yet. Page's Empirical Formula KAl(Si2O6) matches the ideal end-member KAlSi2O6 exactly; oxide wt% total 100.00%. No volatiles reported.",55.06,,23.36,,,,,,,,21.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.74,,12.36,,,,,,,17.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.99,
Aluminoceladonite,mica,Mica,al_celadonite,KMgAlSi4O10(OH)2,oxide_wt_percent,https://webmineral.com/data/Aluminoceladonite.shtml,2026-08-20,"Page formula shown as KAl(Mg,Fe++)[]Si4O10(OH)2 (vacancy-site notation); reports minor FeO despite ideal Fe-free formula. H2O 4.45% excluded.",59.4,,12.6,,,4.44,,7.47,,,11.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.45,,,27.76,,6.67,,3.45,,4.51,,,9.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.45,0.50
Annite,mica,Mica,annite,KFe3(AlSi3O10)(OH)2,oxide_wt_percent,https://webmineral.com/data/Annite.shtml,2026-08-20,H2O 2.63% excluded. [elemental pass: F 1.85% reported alongside H2O],35.15,,9.94,,,42.03,,,,,9.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85,,2.63,,,16.43,,5.26,,32.67,,,,,7.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.87,0.29
Celadonite,mica,Mica,celadonite,"K(Mg,Fe2+)(Fe3+,Al)Si4O10(OH)2",oxide_wt_percent,https://webmineral.com/data/Celadonite.shtml,2026-08-20,Page also reports H2O 4.20% (no column). Oxide total on page = 100.00%. [elemental pass: Fe reported as combined FeO/Fe2O3 oxide split (3.35/16.75) but single elemental Fe wt% given],56.02,,1.19,,16.75,3.35,,7.52,,,10.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.20,,,26.19,,0.63,,14.32,,4.53,,,9.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.75,0.47
Eastonite,mica,Mica,eastonite,KMg2Al(Al2Si2O10)(OH)2,oxide_wt_percent,https://webmineral.com/data/Eastonite.shtml,2026-08-20,H2O 4.30% excluded.,28.69,,36.52,,,,,19.25,,,11.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.30,,,13.41,,19.33,,,,11.61,,,9.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.84,0.48
Margarite,mica,Mica,margarite,CaAl2(Al2Si2O10)(OH)2,oxide_wt_percent,https://webmineral.com/data/Margarite.shtml,2026-08-20,H2O 4.52% excluded.,30.18,,51.21,,,,,,14.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.52,,,14.11,,27.10,,,,,10.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.22,0.51
Muscovite,mica,Mica,muscovite,KAl2(AlSi3O10)(OH)2,oxide_wt_percent,https://webmineral.com/data/Muscovite.shtml,2026-08-20,H2O 4.07% excluded. [elemental pass: Page reports F 0.95% for this formula variant],45.21,,38.36,,,,,,,,11.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.95,,4.07,,,21.13,,20.30,,,,,,,9.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.35,0.46
Paragonite,mica,Mica,paragonite,NaAl2(AlSi3O10)(OH)2,oxide_wt_percent,https://webmineral.com/data/Paragonite.shtml,2026-08-20,H2O 4.71% excluded.,47.16,,40.02,,,,,,,8.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71,,,22.05,,21.18,,,,,,6.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.23,0.53
Phlogopite,mica,Mica,phlogopite,KMg3(AlSi3O10)(OH)2,oxide_wt_percent,https://webmineral.com/data/Phlogopite.shtml,2026-08-20,"H2O 2.15% excluded. [elemental pass: F 4.53% reported; formula includes (F,OH)2 component; no separate H2O/OH wt% shown on page]",42.99,,12.16,,,,,28.84,,,11.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.53,,,,,20.10,,6.44,,,,17.39,,,9.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.98,0.24
Pyrophyllite,mica,Mica,pyrophyllite,Al2Si4O10(OH)2,oxide_wt_percent,https://webmineral.com/data/Pyrophyllite.shtml,2026-08-20,H2O 5.00% excluded.,66.7,,28.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.00,,,31.18,,14.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.28,0.56
Siderophyllite,mica,Mica,siderophyllite,KFe2Al(Al2Si2O10)(OH)2,oxide_wt_percent,https://webmineral.com/data/Siderophyllite.shtml,2026-08-20,H2O 0.93% excluded. [elemental pass: F 5.88% reported alongside small H2O],24.78,,31.54,,,29.63,,,,,9.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.88,,0.93,,,11.58,,16.69,,23.03,,,,,8.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.64,0.10
Huttonite,monazite,Phosphate,huttonite,ThSiO4,oxide_wt_percent,https://webmineral.com/data/Huttonite.shtml,2026-08-20,[elemental pass: Element table reports Th/Si/O only (100.00% total).],18.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.46,,,,,,,,8.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71.59,,,,,,,,19.74,
Monazite,monazite,Phosphate,monazite,"(REE,Th,U,Ca)(P,Si)O4",oxide_wt_percent,https://webmineral.com/data/Monazite-(Ce).shtml,2026-08-20,"Plain 'Monazite' URL redirected to the alphabetical listing; used the 'Monazite-(Ce)' page instead, formula (Ce,La,Nd,Th)PO4. Only La2O3, Ce2O3, Nd2O3, ThO2, P2O5 reported (Pr, Sm and other REE not listed on page); total oxide sums to 100.17%. [elemental pass: webmineral Monazite-(Ce) page; only La/Ce/Nd/Th/P/O reported (no Pr or Sm on page). Element total 100.00%; oxide total 100.17% as shown on page.]",,,,,,,,,,,,29.55,,,,,,,,,,,,,,16.95,34.16,,14.01,,,,,,,,,,,5.50,,,,,,,,,,,,,,,,,,12.89,,,,,,,,,,,,,,14.46,29.17,,12.01,,,,,,,,,,,4.83,,,,,,,,26.64,
Alabandite,monosulfide,Sulfide,alabandite,MnS,element_wt_percent,https://webmineral.com/data/Alabandite.shtml,2026-08-20,[elemental pass: Re-confirmed from webmineral element table; only Mn/S reported (100.00% total)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.86,,,,,,
Galena,monosulfide,Sulfide,galena,PbS,element_wt_percent,https://webmineral.com/data/Galena.shtml,2026-08-20,[elemental pass: Re-confirmed from webmineral element table; only Pb/S reported (100.00% total)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86.60,13.40,,,,,,
Greenockite,monosulfide,Sulfide,greenockite,CdS,element_wt_percent,https://webmineral.com/data/Greenockite.shtml,2026-08-20,[elemental pass: Re-confirmed from webmineral element table; only Cd/S reported (100.00% total)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.19,,,,77.81,,
Sphalerite,monosulfide,Sulfide,sphalerite,ZnS,element_wt_percent,https://webmineral.com/data/Sphalerite.shtml,2026-08-20,"Webmineral's Sphalerite reference sample is (Zn,Fe)S (empirical Zn0.95Fe0.05S), not pure ZnS; Fe reported at 2.88% reflects that impurity, not an ideal end member. [elemental pass: Re-confirmed from webmineral element table; only Zn/Fe/S reported (100.00% total)]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.88,,,,,,,,,64.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.06,,,,,,
Troilite,monosulfide,Sulfide,troilite,FeS,element_wt_percent,https://webmineral.com/data/Troilite.shtml,2026-08-20,[elemental pass: Re-confirmed from webmineral element table; only Fe/S reported (100.00% total)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.47,,,,,,
Kalsilite,nepheline,Feldspathoid,kalsilite,KAlSiO4,oxide_wt_percent,https://webmineral.com/data/Kalsilite.shtml,2026-08-20,"""feldspathoid"" is a new placeholder group_yaml with no backing resources/minerals/*.yaml config yet. Page's Empirical Formula KAlSiO4 matches the ideal end-member exactly; oxide wt% total 100.00%. No volatiles reported. Molecular weight 158.16 gm per page.",37.99,,32.23,,,,,,,,29.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.76,,17.06,,,,,,,24.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.46,
Nepheline,nepheline,Feldspathoid,nepheline,NaAlSiO4,oxide_wt_percent,https://webmineral.com/data/Nepheline.shtml,2026-08-20,"""feldspathoid"" is a new placeholder group_yaml with no backing resources/minerals/*.yaml config yet. Page's Empirical Formula is a natural sample Na0.75K0.25Al(SiO4) (contains K substitution toward kalsilite), not the pure ideal end-member NaAlSiO4. Oxide wt% total 100.00%. No volatiles reported.",41.13,,34.90,,,,,,,15.91,8.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.23,,18.47,,,,,,11.80,6.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.81,
Fayalite,olivine,Olivine,fayalite,Fe2SiO4,oxide_wt_percent,https://webmineral.com/data/Fayalite.shtml,2026-08-20,Pure end-member composition; iron reported as FeO (Fe2+).,29.49,,,,,70.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.78,,,,54.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.41,
Forsterite,olivine,Olivine,forsterite,Mg2SiO4,oxide_wt_percent,https://webmineral.com/data/Forsterite.shtml,2026-08-20,Pure end-member composition.,42.71,,,,,,,57.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.96,,,,,,34.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.49,
Kirschsteinite,olivine,Olivine,ca_olivine,CaFeSiO4,oxide_wt_percent,https://webmineral.com/data/Kirschsteinite.shtml,2026-08-20,"Pure end-member composition; formula CaFe++SiO4, iron reported as FeO.",31.96,,,,,38.21,,,29.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.94,,,,29.7,,,21.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.04,
Tephroite,olivine,Olivine,tephroite,Mn2SiO4,oxide_wt_percent,https://webmineral.com/data/Tephroite.shtml,2026-08-20,Pure end-member composition.,29.75,,,,,,70.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.91,,,,,54.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.69,
Cobaltpentlandite,pentlandite,Sulfide,cobalt_pentlandite,Co9S8,element_wt_percent,https://webmineral.com/data/Cobaltpentlandite.shtml,2026-08-20,[elemental pass: Page's simplified end-member formula reports only Co and S (100.00% total); no Fe/Ni listed],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.60,,,,,,
Pentlandite,pentlandite,Sulfide,pentlandite,"(Fe,Ni)9S8",element_wt_percent,https://webmineral.com/data/Pentlandite.shtml,2026-08-20,[elemental pass: Re-confirmed from webmineral element table; Fe/Ni/S reported (100.00% total)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.56,,,,,,,34.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.23,,,,,,
Cattierite,pyrite,Sulfide,cattierite,CoS2,element_wt_percent,https://webmineral.com/data/Cattierite.shtml,2026-08-20,[elemental pass: Re-confirmed from webmineral element table; only Co/S reported (100.00% total)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.11,,,,,,
Pyrite,pyrite,Sulfide,pyrite,FeS2,element_wt_percent,https://webmineral.com/data/Pyrite.shtml,2026-08-20,[elemental pass: Re-confirmed from webmineral element table; only Fe/S reported (100.00% total)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.45,,,,,,
Vaesite,pyrite,Sulfide,vaesite,NiS2,element_wt_percent,https://webmineral.com/data/Vaesite.shtml,2026-08-20,[elemental pass: Re-confirmed from webmineral element table; only Ni/S reported (100.00% total)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.22,,,,,,
Enstatite,pyroxene,Pyroxene,enstatite,Mg2Si2O6,oxide_wt_percent,https://webmineral.com/data/Enstatite.shtml,2026-08-20,Pure end-member composition.,59.85,,,,,,,40.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.98,,,,,,24.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.81,
Ferrosilite,pyroxene,Pyroxene,ferrosilite,Fe2Si2O6,oxide_wt_percent,https://webmineral.com/data/Ferrosilite.shtml,2026-08-20,"IMPORTANT CAVEAT: webmineral's page formula is the general solid-solution '(Fe++,Mg)2Si2O6', not the pure Fe end-member Fe2Si2O6. Molecular weight given (232.32 gm) corresponds to an equimolar MgFeSi2O6 (Mg:Fe = 1:1), not pure Fe2Si2O6 (MW ~263.85 gm). Values reported here (including MgO 17.35%) are exactly as shown on the page but are NOT the pure ferrosilite end-member composition; no pure-Fe2Si2O6 table was found on webmineral.com. Use with caution or find an alternate source for the true end-member. [elemental pass: webmineral formula given as (Fe++,Mg)2Si2O6; Mg is a substituent shown on the page's own composition table, re-verified directly (not a scraping error) even though Si/O values happen to coincide with Wollastonite's]",51.73,,,,,30.93,,17.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.18,,,,24.04,,10.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.32,
Wollastonite,pyroxene,Pyroxene,wollastonite,CaSiO3,oxide_wt_percent,https://www.webmineral.com/data/Wollastonite-1A.shtml,2026-08-20,"webmineral.com/data/Wollastonite.shtml redirects (no direct page); used Wollastonite-1A.shtml polytype page instead, which gives the same ideal CaSiO3 formula/composition. Shared end-member value for reuse across pyroxene.yaml, clinopyroxene.yaml, and orthopyroxene.yaml.",51.72,,,,,,,,48.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.18,,,,,,,34.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.32,
Pyroxmangite,pyroxenoid,Other silicate,pyroxmangite,"(Mn,Fe)SiO3",oxide_wt_percent,https://webmineral.com/data/Pyroxmangite.shtml,2026-08-20,"""pyroxenoid"" is a new placeholder group_yaml with no backing resources/minerals/*.yaml config yet. Page's Empirical Formula Mn2+0.8Fe2+0.2SiO3 is consistent with the general (Mn,Fe)SiO3 formula given. Oxide wt% total sums to 100.00% (43.25+10.95+45.79=99.99, rounding). No volatiles reported.",45.79,,,,,10.95,43.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.41,,,,8.51,33.50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.58,
Rhodonite,pyroxenoid,Other silicate,rhodonite,MnSiO3,oxide_wt_percent,https://webmineral.com/data/Rhodonite.shtml,2026-08-20,"""pyroxenoid"" is a new placeholder group_yaml with no backing resources/minerals/*.yaml config yet. Page's Empirical Formula is a natural sample Mn2+0.9Fe2+0.02Mg0.02Ca0.05SiO3 (minor Fe/Mg/Ca substitution), not the pure ideal end-member MnSiO3. Page's own oxide wt% total sums to 99.88% (not 100), reported as-is. No volatiles reported.",46.53,,,,,1.11,49.44,0.62,2.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.75,,,,0.86,38.29,0.38,1.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.17,
Pyrrhotite,pyrrhotite,Sulfide,pyrrhotite,Fe(1-x)S,element_wt_percent,https://webmineral.com/data/Pyrrhotite.shtml,2026-08-20,Webmineral formula given as Fe(1-x)S (x=0-0.17); empirical formula on page is Fe0.95S. [elemental pass: Re-confirmed from webmineral element table; only Fe/S reported (100.00% total)],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.67,,,,,,
Quartz,quartz,Quartz/Silica,quartz,SiO2,oxide_wt_percent,https://webmineral.com/data/Quartz.shtml,2026-08-21,"New placeholder group_yaml, no backing resources/minerals/*.yaml config yet. Pure end-member, oxide total 100.00%.",100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.26,
Rutile,rutile,Oxide,rutile,TiO2,oxide_wt_percent,https://webmineral.com/data/Rutile.shtml,2026-08-20,"Pure stoichiometric composition as calculated by webmineral.com. [elemental pass: Simple TiO2, two-element table (Ti, O).]",,100.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.06,
Sapphirine,sapphirine,Other silicate,sapphirine,"(Mg,Fe)3.5Al9Si1.5O20",oxide_wt_percent,https://webmineral.com/data/Sapphirine.shtml,2026-08-20,"Page formula (Mg,Al)8(Al,Si)6O20 reports no Fe (pure Mg, Al-Si-disordered notation), differing from the requested (Mg,Fe)3.5Al9Si1.5O20. Page's own oxide total is only 97.07% (elemental total is 100%; not adjusted). [elemental pass: No H2O/OH/CO2 reported on page]",13.19,,48.49,,,,,35.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.17,,25.67,,,,21.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.83,
Marialite,scapolite,Other silicate,marialite,Na4Al3Si9O24Cl,oxide_wt_percent,https://webmineral.com/data/Marialite.shtml,2026-08-20,"Pure end-member composition. Cl value (4.20%) is the raw halogen weight percent; page separately applies a -O=Cl2 correction of -0.95% to reach the 100.00% oxide total (the -O=Cl2 correction itself is not a compositional column in this schema, so only the raw Cl wt% is reported). [elemental pass: Page reports elemental Cl = 4.20% with an -O=Cl2 charge-balance correction of -0.95% applied to the oxide total (not applied here to the elemental Cl figure); no H2O, CO2, or OH figures found on this page]",63.99,,18.10,,,,,,,14.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.2,,,,29.91,,9.58,,,,,,10.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45.44,
Meionite,scapolite,Other silicate,meionite,Ca4Al6Si6O24CO3,oxide_wt_percent,https://webmineral.com/data/Meionite.shtml,2026-08-20,"Pure end-member composition. Page also lists CO2 4.71 wt% (from the CO3 group in the formula), not included as there is no CO2/carbonate column in this schema. [elemental pass: Page reports elemental Carbon = 1.28% C (no C/carbon column exists in this table's header, so only the CO2 wt% is captured); no H2O or OH figures found on this page]",38.57,,32.73,,,,,,24.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.71,,18.03,,17.32,,,,,17.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.22,
Chrysotile,serpentine,Other silicate,serpentine,Mg3Si2O5(OH)4,oxide_wt_percent,https://webmineral.com/data/Chrysotile.shtml,2026-08-20,Used the Chrysotile polymorph page (webmineral has no plain 'Serpentine' page); formula matches Mg3Si2O5(OH)4 exactly. H2O 13.00% not mapped to an oxide column here. [elemental pass: Element total 100.00%; oxide total not stated but H2O=13.00% from oxide table.],43.36,,,,,,,43.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.00,,,20.27,,,,,,26.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.96,1.45
Montmorillonite,smectite,Clay,montmorillonite,"(Na,Ca)0.3(Al,Mg)2Si4O10(OH)2*n(H2O)",oxide_wt_percent,https://webmineral.com/data/Montmorillonite.shtml,2026-08-21,"New placeholder group_yaml 'smectite' (dioctahedral smectite-group solid solution with Nontronite, Al-rich vs Fe-rich) -- 'Smectite' itself has no webmineral.com page (confirmed: redirects to a blank index page, no composition data -- not included as its own row). No backing resources/minerals/*.yaml config yet. Page's own oxide total is 100.58% (not renormalized). H2O 36.09% oxide-equivalent reflects the formula's variable n(H2O) interlayer hydration (page used n=10 empirically).",43.77,,18.57,,,,,,1.02,1.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.09,,,20.46,,9.83,,,,,0.73,0.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.11,4.04
Nontronite,smectite,Clay,nontronite,"Na0.3Fe2(Si,Al)4O10(OH)2*n(H2O)",oxide_wt_percent,https://webmineral.com/data/Nontronite.shtml,2026-08-21,"Fe-rich dioctahedral smectite-group solid solution partner to Montmorillonite (see that row's note). New placeholder group_yaml, no backing config yet. Page's own oxide total is 98.87% (not renormalized). Fe reported as a single elemental value; recorded under Fe2O3 per the page's own oxide column (ferric, matching the formula's Fe3+). H2O 18.16% oxide-equivalent reflects n(H2O)=4 interlayer hydration.",36.35,,10.28,,32.20,,,,,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.16,,,16.99,,5.44,,22.52,,,,1.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.62,2.03
Smectite,smectite,Clay,smectite,"(Na,Ca)0.3(Al,Mg,Fe)2(Si,Al)4O10(OH)2*n(H2O)",NOT_FOUND,,2026-08-21,NOT_FOUND -- webmineral.com/data/Smectite.shtml is a redirect-only page with no composition data (smectite is the group name; Montmorillonite/Nontronite above are its actual member species).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sodalite,sodalite,Feldspathoid,sodalite,Na4Al3Si3O12Cl,oxide_wt_percent,https://webmineral.com/data/Sodalite.shtml,2026-08-20,"""feldspathoid"" is a new placeholder group_yaml with no backing resources/minerals/*.yaml config yet. Page's Empirical Formula is Na8Al6Si6O24Cl2, i.e. exactly 2x the ideal formula unit Na4Al3Si3O12Cl given (same stoichiometric ratio, not a true compositional discrepancy). Elemental Cl = 7.32 wt%% recorded in Cl column; the page's oxide table lists Cl as a raw 7.32%% contribution then applies a standard -O=Cl2 charge-balance correction of -1.65%% (not represented as a separate column here) to reach TOTAL OXIDE = 100.00%%. No H2O/OH reported. Molecular weight 969.21 gm per page.",37.20,,31.56,,,,,,,25.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.32,,,,17.39,,16.70,,,,,,18.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.62,
Ahrensite,spinel-magnetite,Oxide,ahrensite,Fe2SiO4,NOT_FOUND,,2026-08-20,"No dedicated webmineral.com page found. Tried https://webmineral.com/data/Ahrensite.shtml (302 redirect to Alphabetical_Listing.shtml, i.e. no entry) and WebSearch site:webmineral.com Ahrensite (no matching results). Ahrensite is a rare IMA-2014-approved, ringwoodite-structured Fe2SiO4 polymorph described from a meteorite; webmineral.com's database does not appear to include it. Left unfilled rather than estimated.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chromite,spinel-magnetite,Oxide,chromite,FeCr2O4,oxide_wt_percent,https://webmineral.com/data/Chromite.shtml,2026-08-20,"Pure stoichiometric end-member composition as calculated by webmineral.com. [elemental pass: Page reports single Fe value (oxide column shows only FeO, no Fe2O3 split); no combining needed.]",,,,67.90,,32.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.46,24.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.59,
Coulsonite,spinel-magnetite,Oxide,coulsonite,FeV2O4,oxide_wt_percent,https://webmineral.com/data/Coulsonite.shtml,2026-08-20,"Pure stoichiometric end-member composition as calculated by webmineral.com. [elemental pass: Single combined elemental Fe value (25.19%) reported directly; oxide column shows FeO only (ferrous), formula Fe++V+++2O4.]",,,,,,32.40,,,,,,,,,,,,,,,,,67.60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.19,,,,,,,,,,,,,,,,,45.95,,,,,,,,,,,,,,,,,,,,,,,,,28.86,
Franklinite,spinel-magnetite,Oxide,franklinite,ZnFe2O4,oxide_wt_percent,https://webmineral.com/data/Franklinite.shtml,2026-08-20,"webmineral.com reports a natural analyzed composition (Zn,Mn2+,Fe2+)(Fe3+,Mn3+)2O4, not the pure ZnFe2O4 end-member. Page also lists 16.69% Mn2O3 (Mn3+), which has no corresponding column here (CSV only has MnO) and is omitted from the numeric fields. Empirical formula Zn0.6Mn2+0.3Fe2+0.1Fe3+1.5Mn3+0.5O4. [elemental pass: Oxide column splits Fe as FeO 3.04%/Fe2O3 50.63%, but single combined elemental Fe value (37.78%) reported directly - used as-is.]",,,,,50.63,3.04,9.00,,,,,,,,20.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.78,18.58,,,,,,,,16.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.06,
